id	recognized_monomers	nerpa2_supported_monomers
NPA015567	4	4
NPA016899	4	3
PNPdb04160	9	9
BGC0002914.1	8	7
BGC0002914.0	9	7
NPA028880	6	2
NPA028881	6	3
PNPdb04161	2	2
NPA027549	7	6
NPA028882	7	6
NPA027548	6	6
NPA028883	12	12
PNPdb04167	9	9
NPA027547	7	6
NPA028884	15	15
PNPdb04168	7	6
NPA003586	4	4
NPA027546	7	5
NPA028885	6	6
PNPdb04165	23	23
NPA027545	7	6
PNPdb04166	7	5
NPA027555	6	5
NPA028876	6	5
NPA027554	6	5
NPA028877	6	4
NPA027553	7	5
NPA028878	6	4
PNPdb04158	8	5
NPA027552	7	6
NPA028879	6	5
PNPdb04159	7	7
NPA027551	7	6
NPA027550	6	5
NPA015570	6	6
NPA015576	6	6
PNPdb04171	4	3
PNPdb04174	8	7
NPA026209	8	8
PNPdb04175	4	2
NPA026208	8	8
NPA027539	7	6
NPA028870	8	8
NPA027538	7	6
NPA028871	9	9
PNPdb04173	10	9
NPA027537	7	6
NPA028872	12	12
PNPdb04178	4	2
NPA027536	7	5
NPA028873	11	11
BGC0002259.1	3	3
NPA027535	7	6
NPA028874	15	14
PNPdb04176	8	5
BGC0002259.0	3	3
NPA027534	7	6
NPA028875	15	14
PNPdb04177	9	9
NPA027544	7	6
NPA028865	9	8
NPA027543	7	6
NPA028866	9	8
NPA002259	11	7
NPA026211	8	8
NPA027542	7	6
NPA026210	8	8
NPA027541	7	5
NPA027540	7	6
NPA014230	10	10
NPA015564	7	6
NPA016896	2	2
NPA015565	2	1
PNPdb01908	9	9
NPA014214	9	4
PNPdb01909	9	9
NPA016878	8	7
BGC0000374.4	5	5
PNPdb04181	11	11
BGC0000374.5	6	6
PNPdb04182	10	9
BGC0000374.6	4	4
PNPdb04180	8	5
BGC0000374.0	4	4
PNPdb04185	8	5
BGC0000374.1	4	4
NPA004891	10	9
NPA027529	7	6
PNPdb04186	10	9
BGC0000374.2	4	4
NPA027528	7	6
PNPdb04183	8	5
NPA027527	7	5
NPA028860	7	5
NPA027526	7	5
NPA028861	7	6
PNPdb04189	7	6
NPA027525	7	6
NPA027524	7	5
NPA028863	6	5
PNPdb04187	6	6
NPA004893	5	5
NPA027523	7	6
NPA028864	5	5
NPA027533	7	6
NPA002223	8	4
NPA027532	7	6
NPA028855	10	10
NPA002226	4	4
NPA003557	10	10
NPA027531	7	6
NPA027530	7	6
NPA028857	8	8
NPA028858	8	7
NPA028859	6	4
PNPdb01900	8	8
PNPdb01902	6	6
PNPdb01903	6	6
NPA015551	8	4
PNPdb01904	8	7
NPA016882	15	9
PNPdb01905	7	7
PNPdb01906	10	10
NPA014223	3	1
PNPdb01907	9	8
PNPdb01919	3	3
NPA015534	6	6
NPA016864	10	10
PNPdb04192	11	7
PNPdb04193	10	9
NPA015539	7	7
PNPdb04190	11	9
PNPdb04191	9	8
NPA027519	7	6
PNPdb04196	7	5
NPA027518	6	5
PNPdb04197	10	10
NPA027517	7	6
PNPdb04194	10	9
NPA027516	6	5
PNPdb04195	8	8
NPA027515	6	5
NPA027514	7	6
NPA027513	6	5
PNPdb04198	8	5
NPA027512	6	5
PNPdb04199	11	6
NPA027522	7	5
NPA002234	6	6
NPA027521	7	6
NPA027520	7	5
NPA002236	10	10
NPA028846	8	8
NPA028847	9	9
NPA002238	7	7
PNPdb01910	5	5
PNPdb01911	9	8
PNPdb01912	9	9
PNPdb01913	11	11
PNPdb01914	12	12
PNPdb01915	7	6
PNPdb01916	6	5
BGC0002411.0	5	5
NOR01270	6	6
NOR01271	6	6
NPA027599	6	6
NPA027598	6	6
NOR01267	6	6
NPA027597	6	6
NOR01268	6	6
NOR01269	6	6
PNPdb01920	3	3
BGC0001096.0	0	0
PNPdb01922	5	4
PNPdb01923	3	3
PNPdb01925	4	2
BGC0003000.0	0	0
PNPdb01926	4	3
PNPdb01928	6	6
PNPdb01929	6	6
BGC0001106.0	0	0
PNPdb01931	6	6
PNPdb01932	7	7
PNPdb00602	8	7
PNPdb00603	11	11
PNPdb01934	7	7
PNPdb01935	7	6
PNPdb00605	11	11
PNPdb01936	8	8
PNPdb00606	9	9
PNPdb01937	5	5
PNPdb01938	7	7
BGC0001751.0	0	0
PNPdb00608	11	10
BGC0001751.1	0	0
NPA014278	6	3
PNPdb00609	10	10
NOR01251	5	5
NPA027569	7	6
NOR01252	5	5
BGC0001631.0	5	5
NPA027568	7	6
NOR01253	5	5
NPA027567	7	6
NOR01254	4	3
NPA028898	6	6
NPA027576	6	4
NPA028899	6	5
NPA027575	7	5
NPA027574	6	5
NPA027573	6	4
BGC0002281.0	0	0
NPA027572	7	6
PNPdb00610	9	7
PNPdb01941	8	7
NPA027571	6	5
PNPdb01942	8	7
NPA027570	7	6
PNPdb00612	12	10
PNPdb01944	10	9
NPA014261	12	7
PNPdb01945	9	9
PNPdb00615	2	2
PNPdb01946	8	8
PNPdb00616	6	6
PNPdb00617	5	5
PNPdb01948	11	11
PNPdb01949	11	11
PNPdb00619	5	5
NPA015577	20	11
NPA014248	2	1
BGC0000361.1	0	0
BGC0002424.1	4	4
NPA002282	10	9
NPA028890	6	5
BGC0000361.0	1	1
BGC0002424.0	4	4
NPA028891	6	4
BGC0002424.3	4	4
NPA028892	6	5
BGC0002424.2	4	4
NPA028893	5	5
BGC0002424.5	4	4
NPA027559	7	6
NPA028894	5	5
BGC0002424.4	4	4
NPA027558	7	4
NPA028895	6	6
BGC0002424.7	4	4
NPA027557	7	6
NPA028896	6	6
BGC0002424.6	4	4
NPA027556	7	5
NPA028897	6	6
NOR01265	10	10
NPA027566	7	6
NPA028887	6	4
NOR01255	10	10
NPA027565	7	6
NPA028888	5	5
NOR01256	10	10
NPA027564	7	6
NPA028889	6	6
NOR01257	10	10
NPA027563	6	5
PNPdb01950	7	6
NPA027562	6	5
PNPdb00620	3	2
PNPdb01951	10	10
NPA027561	7	6
PNPdb00621	5	5
PNPdb01952	9	5
NPA027560	7	6
PNPdb00622	5	4
PNPdb00623	4	3
PNPdb00624	6	6
PNPdb01955	2	2
PNPdb00625	7	7
PNPdb01956	3	3
PNPdb00626	2	2
PNPdb01957	4	4
PNPdb00627	4	4
PNPdb01958	3	3
PNPdb00628	4	3
PNPdb01959	5	5
PNPdb00629	7	7
NPA014255	9	7
NPA015586	3	3
PNPdb00630	7	7
NPA009714	8	8
PNPdb00631	6	6
BGC0002090.0	0	0
BGC0002100.0	2	2
PNPdb00632	7	7
PNPdb01963	6	6
BGC0002090.1	0	0
PNPdb00633	8	8
PNPdb01964	6	6
PNPdb01965	6	6
PNPdb01966	6	6
PNPdb00636	3	3
PNPdb01967	4	4
PNPdb01968	8	6
PNPdb00638	8	7
PNPdb01969	4	4
PNPdb00639	8	8
NPA009730	4	3
NPA010719	2	2
PNPdb01970	7	7
PNPdb00640	11	11
PNPdb01971	7	7
NPA009725	5	5
PNPdb00642	11	9
PNPdb01973	8	7
PNPdb00643	5	5
PNPdb01974	6	5
PNPdb00644	10	5
PNPdb01975	7	7
NPA026294	4	4
PNPdb00645	13	11
PNPdb01976	8	7
NPA026293	4	4
PNPdb01977	8	8
NPA026292	4	4
PNPdb01978	10	9
PNPdb00648	3	3
PNPdb00649	6	6
PNPdb01990	9	7
PNPdb01980	9	9
PNPdb00650	5	5
PNPdb01981	10	10
PNPdb01982	9	9
PNPdb00652	4	4
PNPdb00653	5	5
PNPdb00654	5	5
PNPdb01985	10	10
PNPdb00655	6	6
PNPdb01986	11	11
BGC0002544.0	7	6
PNPdb00656	6	6
PNPdb01987	9	6
BGC0002544.1	7	6
PNPdb01988	9	7
PNPdb00658	6	5
PNPdb01989	10	10
PNPdb00659	6	6
BGC0002509.4	0	0
BGC0002509.3	0	0
BGC0002509.2	0	0
BGC0002509.1	0	0
BGC0002509.0	0	0
BGC0001417.0	5	5
PNPdb00670	8	8
PNPdb00660	7	7
PNPdb00661	6	4
PNPdb00662	7	7
NPA026276	4	4
PNPdb01994	2	2
NPA009703	9	9
PNPdb00664	6	4
PNPdb01995	4	3
NPA014290	10	9
PNPdb00665	7	6
PNPdb01996	3	3
PNPdb00666	6	4
PNPdb01997	4	4
NPA009706	7	7
PNPdb00667	8	8
PNPdb01998	3	3
PNPdb00668	6	6
PNPdb01999	5	5
PNPdb00669	7	7
BGC0001657.0	12	12
NPA022739	6	5
BGC0002499.0	0	0
NPA009762	8	8
PNPdb00680	6	6
PNPdb00671	8	7
PNPdb00672	8	8
BGC0001261.0	3	3
PNPdb00673	11	9
PNPdb00674	11	11
PNPdb00675	11	10
PNPdb00676	11	11
PNPdb00677	10	9
PNPdb00679	6	6
BGC0001394.0	1	0
NPA007112	3	3
NPA009777	3	3
NPA007111	13	13
NPA008447	7	7
NPA007116	15	10
PNPdb00690	5	5
PNPdb00691	8	8
NPA009775	2	2
PNPdb00692	6	3
PNPdb00682	5	5
NPA007109	6	6
PNPdb00683	4	4
PNPdb00684	6	4
NPA007107	5	4
PNPdb00686	6	6
BGC0002531.0	4	3
NPA008439	12	12
PNPdb00688	8	7
PNPdb00689	7	7
NPA010755	5	4
BGC0001942.0	1	1
BGC0000986.12	2	2
BGC0000986.11	2	2
BGC0000986.10	2	2
BGC0002126.0	8	8
PNPdb00693	5	5
BGC0002379.0	14	14
PNPdb00694	7	6
PNPdb00695	10	8
PNPdb00696	7	4
PNPdb00697	8	8
PNPdb00698	11	11
PNPdb00699	10	9
NPA010721	3	3
NPA010720	11	11
NPA009754	6	6
NPA009757	6	6
NPA009748	7	6
NPA010734	4	4
NPA010735	3	3
NPA010733	20	11
BGC0000290.0	6	6
NPA007029	7	7
NPA009684	2	2
NPA022651	5	5
NPA022653	5	5
NPA022652	5	5
PNPdb00594	8	7
PNPdb00595	6	6
PNPdb00596	8	7
PNPdb00597	6	6
PNPdb00598	7	7
PNPdb00599	8	8
BGC0002188.0	6	6
NPA019015	5	5
NPA011996	5	5
BGC0002188.1	6	6
NPA019016	4	4
NPA019017	11	11
NPA008360	5	4
NPA008362	7	7
NPA008369	7	6
BGC0000949.1	0	0
BGC0000949.0	0	0
BGC0002068.0	0	0
NPA010675	5	5
NPA010676	3	2
BGC0000313.0	6	6
BGC0002055.0	0	0
NPA007003	7	7
NPA007002	2	2
NPA008338	5	5
NPA007005	3	3
BGC0000420.1	1	1
BGC0000420.0	2	2
BGC0001955.0	11	7
BGC0001955.1	10	7
BGC0001955.2	10	6
BGC0000420.6	0	0
BGC0001955.3	10	6
BGC0000420.5	0	0
BGC0000420.4	0	0
BGC0000420.3	0	0
BGC0000420.2	1	1
NPA008341	5	5
NPA009672	2	1
NPA023956	7	7
NPA023954	9	8
NPA023955	9	8
NPA023952	6	6
NPA023953	8	7
NPA023950	8	7
NPA023951	6	6
NPA009675	2	2
BGC0001047.0	4	4
NPA010656	5	5
BGC0002950.2	3	1
BGC0001822.2	7	7
NPA020036	8	7
NPA021368	5	2
BGC0001822.1	8	8
NPA021367	5	5
NPA020038	17	14
BGC0001822.3	8	8
NPA020039	6	5
NPA021369	5	4
BGC0001822.0	7	7
BGC0002950.1	4	2
BGC0002950.0	3	1
NPA021371	5	4
NPA020040	8	7
NPA021370	5	4
BGC0000446.0	0	0
NPA020041	8	7
BGC0000446.1	1	1
NPA020042	17	14
BGC0000446.2	0	0
BGC0000446.3	0	0
BGC0000446.4	0	0
NPA019056	20	12
NPA022688	6	6
NPA007079	3	3
NPA020026	8	8
NPA007078	20	11
NPA022689	6	6
NPA021353	11	11
NPA021352	11	10
BGC0002340.3	0	0
NPA022691	6	6
NPA022690	6	6
NPA021362	11	7
NPA021361	10	7
NPA022692	6	6
BGC0002340.0	0	0
BGC0002340.2	0	0
BGC0002473.2	2	2
NPA021349	10	7
BGC0002473.0	2	2
BGC0002473.1	3	2
NPA021348	10	7
BGC0001692.0	0	0
NPA007048	5	5
BGC0001034.0	1	1
BGC0001034.1	1	1
NPA021351	10	7
NPA021350	10	7
BGC0001702.0	0	0
BGC0003074.2	5	5
BGC0003074.3	5	5
BGC0003074.4	5	5
BGC0003074.5	5	5
NPA008385	3	2
NPA007054	5	5
NPA022669	7	5
NPA023999	4	4
NPA022668	7	4
BGC0000300.0	7	6
BGC0000433.0	7	7
NPA022671	7	6
NPA022670	7	5
NPA019021	7	7
NPA019024	12	12
NPA019029	8	7
BGC0003074.0	5	5
NPA019027	3	3
BGC0003074.1	5	5
BGC0002749.0	0	0
BGC0000339.0	10	8
NPA019091	2	1
BGC0001225.0	2	1
NPA004829	4	4
NPA016801	6	6
BGC0000971.0	0	0
BGC0001358.0	8	5
BGC0001358.1	8	5
NPA021399	2	2
NPA020068	3	2
NPA021398	4	4
NPA019081	6	6
BGC0000459.1	8	7
BGC0000459.0	2	2
NPA004837	9	9
NPA004834	7	6
BGC0000984.0	9	9
BGC0000984.1	9	9
NPA021386	4	3
PNPdb04101	7	7
PNPdb04102	7	7
NPA021387	3	2
PNPdb04100	7	7
NPA004804	6	6
NPA004801	5	5
BGC0001345.1	2	2
BGC0001345.0	2	2
PNPdb04112	4	4
PNPdb04110	7	7
PNPdb04111	9	9
NPA004810	7	7
PNPdb04105	9	8
PNPdb04106	7	7
PNPdb04104	8	8
PNPdb04109	4	3
PNPdb04107	8	5
PNPdb04108	7	7
NPA004816	7	7
BGC0001750.0	0	0
NPA015527	7	7
NPA027509	6	5
NPA027508	7	6
NPA027507	7	6
PNPdb04120	4	3
NPA027506	7	6
NPA027505	7	6
NPA027504	7	6
PNPdb04123	8	8
NPA027503	7	6
PNPdb04124	9	9
NPA002211	6	6
NPA027502	7	6
PNPdb04121	4	4
NPA004871	18	10
NPA027501	7	6
NPA027511	6	5
NPA027510	7	6
PNPdb04117	9	9
NPA028834	7	6
PNPdb04114	5	3
NPA004864	3	3
NPA028835	7	6
PNPdb04115	10	8
NPA004869	7	6
NPA028836	7	6
NPA028837	7	6
PNPdb04118	10	9
PNPdb04119	9	9
NPA002209	8	8
NPA015530	6	6
BGC0000326.0	4	4
BGC0002989.0	5	5
BGC0002295.0	0	0
PNPdb04130	4	3
BGC0002295.1	0	0
PNPdb04132	9	9
NPA027500	7	5
PNPdb04127	11	7
NPA004877	12	12
NPA028823	7	6
NPA028824	7	7
PNPdb04126	10	10
NPA028825	7	7
BGC0001212.0	2	2
PNPdb04129	8	8
NPA015521	7	6
BGC0002976.0	11	10
BGC0002976.1	11	10
NPA016831	7	7
NPA016839	2	1
PNPdb04140	10	9
PNPdb04145	9	9
NPA020099	4	4
PNPdb04146	10	10
NPA028810	3	2
NPA028811	4	2
PNPdb04139	7	6
NPA004841	4	4
NPA028812	3	2
PNPdb04136	12	12
NPA028813	3	2
PNPdb04137	10	9
NPA028814	3	2
NPA003514	6	6
NPA028815	2	2
NPA004845	5	5
NPA028816	3	2
NPA028817	3	2
NPA028819	7	7
NPA016821	4	4
NPA016824	18	10
BGC0002042.2	0	0
PNPdb04153	4	4
BGC0000997.0	3	3
BGC0002042.0	0	0
PNPdb04150	8	8
BGC0002042.1	0	0
PNPdb04151	8	7
BGC0000997.2	3	3
PNPdb04156	11	11
BGC0000997.1	3	3
PNPdb04157	10	10
PNPdb04154	8	5
PNPdb04155	9	9
NPA004855	9	8
NPA028800	6	3
NPA003524	8	8
NPA028801	6	4
PNPdb04147	10	9
NPA028802	6	3
NPA028803	6	6
NPA028804	6	6
NPA028805	6	4
NPA028806	3	2
NPA028807	2	2
NPA028808	3	3
BGC0001332.0	3	3
NPA028809	3	2
PNPdb04042	9	9
PNPdb04043	8	8
NPA027429	4	1
NPA028760	7	6
PNPdb04040	6	6
NPA027428	4	1
NPA028761	7	6
NPA003463	2	2
NPA027427	4	2
NPA028762	6	5
PNPdb04046	9	9
NPA027426	4	2
NPA028763	7	6
NOR00020	12	12
PNPdb04047	9	8
NPA027425	4	2
NPA028764	7	6
NOR00021	12	12
BGC0000373.0	0	0
NPA028765	6	5
NOR01353	10	9
PNPdb04045	8	7
NPA027434	6	6
NPA028755	7	6
PNPdb04039	7	7
NPA028756	7	5
NPA028757	7	5
PNPdb04037	9	8
NPA028758	7	5
PNPdb04038	9	8
NPA027430	4	1
NPA028759	7	5
NOR00018	12	12
NPA016782	9	3
BGC0002892.0	5	5
NPA015454	6	6
NPA015455	19	19
NPA016767	8	8
NPA015439	5	5
NPA003470	9	9
PNPdb04054	9	9
NPA003471	8	4
NPA028750	7	5
NPA028751	7	6
NPA028752	7	6
NOR01362	19	19
NPA028753	7	5
PNPdb04055	7	7
NPA028754	7	5
NOR00033	11	11
NPA028744	7	6
NOR01354	6	6
NPA028745	7	6
NPA028746	7	6
PNPdb04048	10	10
NPA028747	7	5
PNPdb04049	8	8
NPA028748	7	6
NPA028749	7	6
NOR00028	11	11
NOR00029	11	11
NPA016771	4	4
NPA016774	6	6
NPA016754	5	5
NPA015425	2	1
NPA016759	8	7
PNPdb04060	8	8
PNPdb04061	8	8
BGC0003147.0	0	0
NPA027409	2	2
PNPdb04064	4	4
NPA027408	6	6
NPA027407	6	6
PNPdb04062	9	8
NPA027406	14	14
NPA002110	12	12
NPA028740	7	5
NPA003440	2	2
NPA027404	7	7
NPA028741	7	4
NPA028742	7	5
NPA028743	7	5
PNPdb04067	9	8
NPA002103	15	9
NPA004766	20	11
NPA028733	7	6
NPA002102	2	2
NPA028734	6	5
NPA027410	2	2
NPA028735	7	6
PNPdb04059	8	8
NPA028736	7	5
NPA028737	7	6
NPA028738	7	6
NPA028739	7	5
NPA015433	3	3
NPA016743	2	2
BGC0000386.3	9	6
PNPdb04071	7	7
NPA016747	3	2
PNPdb04075	8	8
BGC0000386.0	4	3
BGC0000386.1	5	4
BGC0000386.2	4	3
PNPdb04074	8	8
PNPdb04079	9	9
NPA028730	7	6
NPA004782	7	7
NPA028731	7	6
NOR00010	20	11
PNPdb04077	7	7
NPA028732	7	6
PNPdb04078	9	9
NPA027401	4	4
NPA028722	6	3
NOR00001	13	13
NPA004778	14	7
NPA027400	4	4
NPA028723	7	6
NPA028724	6	5
NPA028725	7	6
NPA028726	7	6
NPA028727	7	6
NOR00006	3	3
NPA028728	7	6
NOR00007	20	11
NPA028729	7	6
PNPdb01809	6	6
PNPdb04082	7	7
NPA002170	7	7
PNPdb04080	9	8
PNPdb04081	8	8
PNPdb04086	7	7
PNPdb04087	8	8
NPA002174	15	7
PNPdb04085	9	6
NOR01394	9	9
NOR00064	5	5
NPA027469	3	3
NOR00065	6	6
BGC0001630.0	5	5
NPA027468	3	3
NOR00066	5	5
PNPdb04089	7	7
NPA027478	4	4
NPA028799	6	5
NPA027477	3	3
NPA027476	3	3
NOR01389	5	5
NPA027475	4	4
NPA027474	4	4
NPA027473	4	4
NPA015490	2	2
NPA027472	4	4
NPA027471	4	4
PNPdb01800	4	4
NPA027470	4	4
PNPdb01801	3	3
NPA014162	2	1
PNPdb01802	4	3
NPA014163	2	2
NPA015495	2	2
