core	count
Leu	438
Ser	401
Thr	361
Val	336
Ala	294
Gly	264
Ile	223
Tyr	220
Pro	178
Phe	149
Asp	147
Asn	132
Cys	127
Trp	117
Orn	115
Hpg	112
aThr	106
Gln	100
Glu	83
Dab	72
Lys	66
Arg	66
Bza	62
dHpg	50
Abu	31
Pip	28
bAla	27
Aad	25
Sal	24
His	19
Bmt	19
aIle	14
Ant	13
Hty	12
Dpr	12
Iva	11
Hiv	10
Hse	9
bLys	9
Ppa	8
Kiv	8
Piz	7
Pen	6
Kyn	6
oxoDec	6
Aol	6
Hda	5
Pyv	5
Lac	5
Aze	4
End	4
Hic	4
Ac	4
Acc	4
bTyr	4
Gram	4
Met	4
Aib	4
Bfa	3
mTyr	3
But	3
Boz	3
Pgl	3
Nic	3
Gua	3
Ahp	3
Qui	3
bPhe	2
Cin	2
Ibu	2
Pyr	2
Hep	2
Hph	2
Hex	2
Pca	2
Cap	2
Lya	2
Prop	2
cohOhi	2
niCpa	2
Cya	2
Cit	2
Valol	1
cycHexAla	1
Ors	1
Dec	1
Hqa	1
Phz	1
Kic	1
Suc	1
Sma	1
Hch	1
Sam	1
Dece	1
Dodec	1
Oct	1
Man	1
fa	1
Hpa	1
Lin	1
Lev	1
nHcp	1
Htia	1
Hpea	1
Glyca	1
