InChiKey_prefix	ID_1	Name_1	Source_1	SMILES_1	ID_2	Name_2	Source_2	SMILES_2	InChiKey_2	Comment
AZKKJPHFGXHXKQ	BGC0000299.7	bromoalterochromide A'	MIBiG4.0rc1	CC(C)CC1NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(NC(=O)\C=C\C=C\C=C\C=C\C2=CC=C(O)C(Br)=C2)C(C)OC1=O)C(C)C	NPA005881	Bromoalterochromide A'	NPAtlas	C[C@@H]1[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O1)CC(C)C)CC(=O)N)CC(=O)N)C(C)C)NC(=O)/C=C/C=C/C=C/C=C/C2=CC(=C(C=C2)O)Br	AZKKJPHFGXHXKQ-YRLMMGSCSA-N	names match
CLKOFPXJLQSYAH	BGC0000310.0	bacitracin	MIBiG4.0rc1	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4	NOR00018	bacitracin A1	Norine	CC[C@H](C)[C@@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCCCC[C@@H](C(=O)N[C@@H](C(=O)N1)CCCN)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CSC(=N2)[C@H]([C@@H](C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4	CLKOFPXJLQSYAH-KWOGWQNJSA-N	https://pubmed.ncbi.nlm.nih.gov/9427658/
QVZZPLDJERFENQ	BGC0000312.0	bassianolide	MIBiG4.0rc1	CC(C)CC1C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N1C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C	NPA020314	Bassianolide	NPAtlas	CC(C)C[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C	QVZZPLDJERFENQ-NKTUOASPSA-N	names match
GYSCAQFHASJXRS	BGC0000313.0	beauvericin	MIBiG4.0rc1	CC(C)C1OC(=O)C(CC2=CC=CC=C2)N(C)C(=O)C(OC(=O)C(CC2=CC=CC=C2)N(C)C(=O)C(OC(=O)C(CC2=CC=CC=C2)N(C)C1=O)C(C)C)C(C)C	BGC0003047.0	Beauvericin	MIBiG4.0rc1	CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C	GYSCAQFHASJXRS-FFCOJMSVSA-N	names match
PZPPOCZWRGNKIR	BGC0000321.0	chaetocin	MIBiG4.0rc1	CN1C(=O)C23CC4(C(N2C(=O)C1(SS3)CO)NC5=CC=CC=C54)C67CC89C(=O)N(C(C(=O)N8C6NC1=CC=CC=C71)(SS9)CO)C	NPA020287	Chaetocin	NPAtlas	CN1C(=O)[C@@]23C[C@]4([C@@H](N2C(=O)[C@]1(SS3)CO)NC5=CC=CC=C54)[C@]67C[C@@]89C(=O)N([C@](C(=O)N8[C@@H]6NC1=CC=CC=C71)(SS9)CO)C	PZPPOCZWRGNKIR-NAUSJNOYSA-N	names match
MDBSKEKVSGDWLT	BGC0000354.2	friulimicin C	MIBiG4.0rc1	CCC(C)CCCCC/C=C/CC(=O)NC(CC(=O)N)C(=O)NC1C(NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C3CCCCN3C1=O)C(C)C(=O)O)CC(=O)O)CC(=O)O)C(C)N)C(C)C)C	NOR00767	friulimicin C	Norine	CCC(C)CCCCC/C=C\CC(=O)N[C@@H](CC(=O)N)C(=O)N[C@H]1[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]3CCCCN3C1=O)[C@H](C)C(=O)O)CC(=O)O)CC(=O)O)[C@@H](C)N)C(C)C)C	MDBSKEKVSGDWLT-UMHYYYCVSA-N	names match
FPMIEPCWEZBKGP	BGC0000398.0	orfamide B	MIBiG4.0rc1	CCCCCCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC1C(C)OC(=O)C(NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(NC1=O)C(C)C)C(C)C	BGC0002779.1	orfamide B	MIBiG4.0rc1	CCCCCCCCCCC[C@@H](O)CC(N[C@H](C(N[C@@H](C(N[C@@H]1[C@@H](C)OC([C@H](C(C)C)NC([C@@H](CO)NC([C@H](CC(C)C)NC([C@H](CC(C)C)NC([C@@H](CO)NC([C@@H](CC(C)C)NC([C@@H](C(C)C)NC1=O)=O)=O)=O)=O)=O)=O)=O)=O)CCC(O)=O)=O)CC(C)C)=O	FPMIEPCWEZBKGP-OVVKWOAGSA-N	names match
STDTUHSFISWYFO	BGC0000399.1	orfamide C	MIBiG4.0rc1	CCCCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC1C(C)OC(=O)C(NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(NC1=O)C(C)CC)C(C)C	NOR01257	Orfamide C	Norine	CCCCCCCCC[C@H](CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)NC1[C@@H](OC(=O)C(NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(NC(=O)[C@@H](NC(=O)C(NC(=O)[C@@H](NC1=O)[C@H](C)CC)CC(C)C)CO)CC(C)C)CC(C)C)CO)C(C)C)C)O	STDTUHSFISWYFO-GWGWVTKPSA-N	names match
DTKPLFMHHIBZIK	BGC0000403.2	Pelgipeptin C	MIBiG4.0rc1	O=C1OC(C(CC)C)CC(NC(CCN)C(NC(C(C)C)C(NC(CCN)C(NC(CC2=CC=CC=C2)C(NC(CC(C)C)C(NC(CCN)C(NC(C(C)C)C(NC(CC(C)C)C(NC1CO)=O)=O)=O)=O)=O)=O)=O)=O)=O	NPA020124	BMY-28160	NPAtlas	CCC(C)C1CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O1)CO)CC(C)C)C(C)C)CCN)CC(C)C)CC2=CC=CC=C2)CCN)C(C)C)CCN	DTKPLFMHHIBZIK-UAFOARIASA-N	https://pubmed.ncbi.nlm.nih.gov/22203557/
AUJXLBOHYWTPFV	BGC0000415.0	quinomycin	MIBiG4.0rc1	CC1C(=O)N(C2CSC(C(C(=O)N(C(C(=O)OCC(C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)C(NC(=O)C(COC(=O)C(N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C	NPA020399	Quinomycin A	NPAtlas	C[C@H]1C(=O)N(C2CSC(C(C(=O)N([C@H](C(=O)OC[C@H](C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)[C@@H](NC(=O)[C@@H](COC(=O)[C@@H](N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C	AUJXLBOHYWTPFV-RQLJINDISA-N	https://pubmed.ncbi.nlm.nih.gov/23437232/
