ID	Name	SMILES	Origin	InChiKey	Source	Alternative IDs
BGC0000290.0	A-47934	N[C@@H]1C2=CC=C(OS(O)(=O)=O)C(OC3=CC(=CC(O)=C3)[C@@H]3NC(=O)[C@@H](CC4=CC(Cl)=C(OC5=C(O)C6=CC(=C5)[C@@H](NC3=O)C(=O)N[C@@H]3C5=CC(Cl)=C(O)C(=C5)C5=C(O)C=C(O)C=C5[C@H](NC(=O)[C@@H](NC3=O)[C@H](O)C3=CC=C(O6)C(Cl)=C3)C(O)=O)C=C4)NC1=O)=C2	Streptomyces toyocaensis	HRGFAEUWEMDRRZ-QLRHZSCISA-N	MIBiG4.0rc1	
BGC0000293.0	acetylaszonalenin	CC(=O)N1[C@H]2[C@](C[C@H]3N2C(=O)C4=CC=CC=C4NC3=O)(C5=CC=CC=C51)C(C)(C)C=C	Aspergillus fischeri NRRL 181	TXNJQKDZOVFCAQ-XRODADMRSA-N	MIBiG4.0rc1	
BGC0000294.0	acinetobactin	CC1OC(=NC1C(=O)N(O)CCC1=CNC=N1)C1=CC=CC(O)=C1O	Acinetobacter baumannii	FCWIGDCVHNNXFS-UHFFFAOYSA-N	MIBiG4.0rc1	
BGC0000296.0	actinomycin D	[H][C@@]12CCCN1C(=O)[C@]([H])(NC(=O)[C@@]([H])(NC(=O)C1=CC=C(C)C3=C1N=C1C(O3)=C(C)C(=O)C(N)=C1C(=O)N[C@]1([H])C(=O)N[C@]([H])(C(C)C)C(=O)N3CCC[C@@]3([H])C(=O)N(C)CC(=O)N(C)[C@@]([H])(C(C)C)C(=O)O[C@]1([H])C)[C@@]([H])(C)OC(=O)[C@]([H])(C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C	Streptomyces anulatus; Kitasatospora sp. YINM00002	RJURFGZVJUQBHK-IIXSONLDSA-N	MIBiG4.0rc1	BGC0002889.3
BGC0000297.1	aeruginoside 126A	CC(C)C[C@@H](NC(=O)[C@H](O)CC1=CC=CC=C1)C(=O)N1[C@H]2C[C@@H](CC[C@H]2C[C@H]1C(=O)NCCC1=CCN(C1)C(N)=N)O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O	Planktothrix agardhii NIVA-CYA 126	ZLUQPKGCJYFQGT-PUWCCGQOSA-N	MIBiG4.0rc1	
BGC0000298.1	aeruginosin 98-B	[H]C12CC(N(C(=O)[C@H](NC(=O)C(O)CC3=CC=C(O)C=C3)[C@H](C)CC)C1([H])CC(CC2)OS(O)(=O)=O)C(=O)NCCCCNC(N)=N	Microcystis aeruginosa NIES-98	WZVRXEOKWMIDDV-APHGSVRASA-N	MIBiG4.0rc1	
BGC0000299.1	bromoalterochromide A	CCC(C)C1NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(NC(=O)\C=C\C=C\C=C\C=C\C2=CC=C(O)C(Br)=C2)C(C)OC1=O)C(C)C	Pseudoalteromonas piscicida JCM 20779	VJNFPXDPZJZUKS-NOEJSRFCSA-N	MIBiG4.0rc1	
BGC0000299.14	alterochromide B''	CC(C)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	Pseudoalteromonas piscicida JCM 20779	PHJHUSAIVDFHQZ-MZFXHIKXSA-N	MIBiG4.0rc1	
BGC0000299.9	alterochromide B'	O=C([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)N[C@H]1CC(C)C	Pseudoalteromonas piscicida JCM 20779; Pseudoalteromonas T1lg65	QXFREDMSNUKBFB-ZRODPMGZSA-N	MIBiG4.0rc1	BGC0003074.3
BGC0000300.0	amychelin A	OC[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H]1COC(=N1)C1=CC=CC=C1O)C(=O)N[C@@H](CO)C(=O)N[C@H](CCCN(O)C=O)C(=O)N[C@@H]1CCCN(O)C1=O	Streptomyces sp. AA4; Amycolatopsis methanolica	YMYRNIMWOZETPY-OVQJPPBNSA-N	MIBiG4.0rc1	BGC0002544.0
