ID	Name	SMILES	Origin	InChiKey	Source
BGC0001108.0	pederin	C[C@H]1[C@H](O[C@](CC1=C)([C@@H](C(=O)N[C@H]([C@@H]2C[C@H](C([C@H](O2)C[C@@H](COC)OC)(C)C)O)OC)O)OC)C	Uncultured bacterium	ZNEZZONMADKYTB-VRCUBXEUSA-N	MIBiG4.0rc1
BGC0001108.1	pseudopederin	CC1C(OC(CC1=C)(C(C(=O)NC(C2CC(C(C(O2)CC(COC)OC)(C)C)O)OC)O)O)C	Uncultured bacterium	NNNVJFAPLNIYPF-UHFFFAOYSA-N	MIBiG4.0rc1
BGC0001108.2	pederone	CC1C(OC(CC1=C)(C(C(=O)NC(C2CC(=O)C(C(O2)CC(COC)OC)(C)C)OC)O)OC)C	Uncultured bacterium	XWFDVJNZERXRSB-UHFFFAOYSA-N	MIBiG4.0rc1
BGC0000352.0	fimsbactin A	CC(=O)N(O)CCCCNC(=O)[C@H](COC(=O)C1=C(O)C(O)=CC=C1)NC(=O)[C@@H]1COC(=N1)C1=C(O)C(O)=CC=C1	Acinetobacter sp. ADP1	GUYAPGULLNBOCI-ROUUACIJSA-N	MIBiG4.0rc1
BGC0001027.0	nocobactin NA	CCCCCCC[C@H](OC([C@@H](NC(C1=C(C)OC(N1)=C2C=CC=CC2=O)=O)CCCCN(O)C(C)=O)=O)[C@H](C(N[C@@H]3CCCCN(O)C3=O)=O)C	Nocardia farcinica IFM 10152	FIZYGGKXCBPDRF-WAXSWYNISA-N	MIBiG4.0rc1
BGC0001027.1	nocobactin NA 10152B	C[C@@H](C(N[C@@H]1CCCCN(O)C1=O)=O)[C@@H](OC([C@@H](NC(C2=C(C)OC(N2)=C3C=CC=CC3=O)=O)CCCCN(O)C(C)=O)=O)CCCCCCCCC	Nocardia farcinica IFM 10152	VFWZMGZJTAPJHV-OXYYHEDDSA-N	MIBiG4.0rc1
BGC0003076.0	echinulin	C[C@H]1C(=O)N[C@H](C(=O)N1)CC2=C(NC3=C(C=C(C=C23)CC=C(C)C)CC=C(C)C)C(C)(C)C=C	Aspergillus ruber QEN-0407-G2 	DIKMWTRJIZQJMY-CYFREDJKSA-N	MIBiG4.0rc1
BGC0000319.0	cephamycin C	CO[C@]1(NC(=O)CCCC(N)C(O)=O)C2SCC(COC(N)=O)=C(N2C1=O)C(O)=O	Streptomyces clavuligerus ATCC 27064	LXWBXEWUSAABOA-YQIDSGEHSA-N	MIBiG4.0rc1
BGC0002348.0	aspulvinone E	C1=CC(=CC=C1/C=C\2/C(=C(C(=O)O2)C3=CC=C(C=C3)O)O)O	Aspergillus terreus NIH2624	BNNVVTQUWNGKPH-ZROIWOOFSA-N	MIBiG4.0rc1
BGC0000995.0	FR901464	CC(OC(C)=O)\C=C/C(=O)NC1CC(C)C(C\C=C(/C)\C=C\C2OC(C)(O)CC3(CO3)C2O)OC1C	Pseudomonas sp. 2663	PJKVJJDQXZARCA-LBPFJSCKSA-N	MIBiG4.0rc1
BGC0002614.0	subglutinol A	CC1=C(OC(=O)C(=C1O)C[C@@H]2C(=C)CC[C@@H]3[C@@]2(CC[C@H]4[C@]3(C[C@H](O4)C=C(C)C)C)C)C	Penicillium shearii	SXNPXUJAUIINIU-JTLRLOPKSA-N	MIBiG4.0rc1
BGC0002614.1	sesquicillin A	CC1=C(OC(=O)C(=C1O)C[C@@H]2C(=C)CC[C@@H]3[C@@]2(CC[C@@H]([C@@]3(C)CCC=C(C)C)OC(=O)C)C)C	Penicillium shearii	XYRWDMXUDDAXMF-JJPZVYOZSA-N	MIBiG4.0rc1
BGC0002614.2	colletotrichin	CC1=C(C(=O)C(=C(O1)OC)C[C@H]2C(=C)CC[C@H]3[C@]2(CC[C@@H]([C@]3(C)CCC(C)(C)O)O)C)C(=O)OC	Penicillium shearii	IUNGBSYMDFEAMS-KPRONASWSA-N	MIBiG4.0rc1
BGC0002614.3	metarhizin A	CC[C@H](C)[C@H](C(=O)O[C@H]1CC[C@]2([C@H]([C@]1(C)CCC=C(C)C)CCC(=C)[C@H]2CC3=C(C(=C(OC3=O)C)C)O)C)O	Penicillium shearii	QIHPCGZZMBZAPA-MQMNVYNZSA-N	MIBiG4.0rc1
BGC0001711.0	occidiofungin A	CCCCOC1CNC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CC2=CNC3=C2C=CC=C3)NC(=O)CC(C1)OC1OC[C@@H](O)[C@H](O)[C@H]1O)C(O)C1=CC=C(O)C=C1	Burkholderia pyrrocinia	AOHSXULORROIFX-DOTMVGKOSA-N	MIBiG4.0rc1
BGC0000464.0	xenoamicin A	O=C(N[C@H](C(N[C@H](C(C)C)C(N[C@@H](C(C)C)C(N[C@H](C)C(NCCC1=O)=O)=O)=O)=O)C(C)C)[C@@H]([C@H](OC([C@@H](NC([C@@H]2N1CCC2)=O)C(C)C)=O)C)NC([C@H]([C@H](C)CC)NC([C@@H](CC(C)C)NC([C@H](C(C)C)NC([C@@H](C)NC([C@H]3N(C(CCC)=O)CCC3)=O)=O)=O)=O)=O	Xenorhabdus doucetiae	JQWFRQJTZVLPIQ-HSIBCVILSA-N	MIBiG4.0rc1
BGC0000464.1	xenoamicin B	O=C(N[C@H](C(N[C@H]([C@H](C)CC)C(N[C@@H](C(C)C)C(N[C@H](C)C(NCCC1=O)=O)=O)=O)=O)C(C)C)[C@@H]([C@H](OC([C@@H](NC([C@@H]2N1CCC2)=O)C(C)C)=O)C)NC([C@H]([C@H](C)CC)NC([C@@H](CC(C)C)NC([C@H](C(C)C)NC([C@@H](C)NC([C@H]3N(C(CCC)=O)CCC3)=O)=O)=O)=O)=O	Xenorhabdus doucetiae	RCNSZSLZDQBOEM-YXEJCLQBSA-N	MIBiG4.0rc1
BGC0000818.0	notoamide A	CC1(C)[C@@H]2C[C@]34CCCN3C(=O)[C@@]2(C[C@@]11C(=O)N(O)C2=C1C=CC1=C2C=CC(C)(C)O1)NC4=O	Aspergillus versicolor	KGCIBVDLLPYXFL-OFVWMMNVSA-N	MIBiG4.0rc1
BGC0000294.0	acinetobactin	CC1OC(=NC1C(=O)N(O)CCC1=CNC=N1)C1=CC=CC(O)=C1O	Acinetobacter baumannii	FCWIGDCVHNNXFS-UHFFFAOYSA-N	MIBiG4.0rc1
BGC0002169.0	acurin A	C/C=C(\C=C(C)\C=C\C=C\C=C(/C)C(=O)[C@H]1C[C@H](CO)NC1=O)C(=O)OC	Aspergillus aculeatus ATCC 16872	JZIMOTIFZOTFPM-OJDRRNJJSA-N	MIBiG4.0rc1
BGC0001329.0	rakicidin D	CN(CC(N[C@@H]([C@@H](C(N)=O)O)C(OC([C@H](C)CCCCCC)[C@H](C)C(N1)=O)=O)=O)C(/C=C/C1=C)=O	Streptomyces lilacinus	CIRMNTDTIYXVDA-HQWXCZLASA-N	MIBiG4.0rc1
BGC0002046.0	lobatamide A	CO/N=C/C=C\C(=O)N/C=C/CC1CC(=O)OC(C)/C=C/C(O)/C(C)=C\CC2=C(C(=O)O1)C(O)=CC=C2	Gynuella sunshinyii YC6258	JYHIHHYYXXKTTJ-VPIXAGKESA-N	MIBiG4.0rc1
