ID	Name	SMILES	Origin	InChiKey	Source
BGC0000290.0	A-47934	N[C@@H]1C2=CC=C(OS(O)(=O)=O)C(OC3=CC(=CC(O)=C3)[C@@H]3NC(=O)[C@@H](CC4=CC(Cl)=C(OC5=C(O)C6=CC(=C5)[C@@H](NC3=O)C(=O)N[C@@H]3C5=CC(Cl)=C(O)C(=C5)C5=C(O)C=C(O)C=C5[C@H](NC(=O)[C@@H](NC3=O)[C@H](O)C3=CC=C(O6)C(Cl)=C3)C(O)=O)C=C4)NC1=O)=C2	Streptomyces toyocaensis	HRGFAEUWEMDRRZ-QLRHZSCISA-N	MIBiG4.0rc1
BGC0000296.0	actinomycin D	[H][C@@]12CCCN1C(=O)[C@]([H])(NC(=O)[C@@]([H])(NC(=O)C1=CC=C(C)C3=C1N=C1C(O3)=C(C)C(=O)C(N)=C1C(=O)N[C@]1([H])C(=O)N[C@]([H])(C(C)C)C(=O)N3CCC[C@@]3([H])C(=O)N(C)CC(=O)N(C)[C@@]([H])(C(C)C)C(=O)O[C@]1([H])C)[C@@]([H])(C)OC(=O)[C@]([H])(C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C	Streptomyces anulatus	RJURFGZVJUQBHK-IIXSONLDSA-N	MIBiG4.0rc1
BGC0000297.0	aeruginoside 126B	CC(C)C[C@@H](NC(=O)[C@H](O)CC1=CC=CC=C1)C(=O)N1[C@H]2C[C@@H](CC[C@H]2C[C@H]1C(=O)NCCCCNC(N)=N)O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O	Planktothrix agardhii NIVA-CYA 126	JUHSPAYJBZKQRH-IBWPONKNSA-N	MIBiG4.0rc1
BGC0000299.0	alterochromide A	C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	Pseudoalteromonas piscicida JCM 20779	NOXVAEGHELSLCZ-NLUZMNHVSA-N	MIBiG4.0rc1
BGC0000299.10	bromoalterochromide B'	O=C([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)N[C@H]1CC(C)C	Pseudoalteromonas piscicida JCM 20779	YUWZMTMMHSEFLE-UNNUVPEXSA-N	MIBiG4.0rc1
BGC0000299.12	alterochromide A''	CC(C)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	Pseudoalteromonas piscicida JCM 20779	PPWHZYRECFVKDR-MOILHBHHSA-N	MIBiG4.0rc1
BGC0000300.0	amychelin	OC[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H]1COC(=N1)C1=CC=CC=C1O)C(=O)N[C@@H](CO)C(=O)N[C@H](CCCN(O)C=O)C(=O)N[C@@H]1CCCN(O)C1=O	Streptomyces sp. AA4	YMYRNIMWOZETPY-OVQJPPBNSA-N	MIBiG4.0rc1
BGC0000301.0	anabaenopeptin 908	CC[C@@H]([C@H]1C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CCCNC(N)=N)=O)C(N[C@@H](C(C)C)C(N[C@@H](CCC2=CC=C(O)C=C2)C(N(C)[C@@H](CCC3=CC=C(O)C=C3)C(N1)=O)=O)=O)=O)=O)C	Planktothrix agardhii NIVA-CYA 126/8	FPSCSFRHCCJLDN-ORCWKVIUSA-N	MIBiG4.0rc1
BGC0000301.1	anabaenopeptin 915	CC[C@H](C)[C@H]1C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N1)CCC2=CC=C(C=C2)O)C)CCC3=CC=C(C=C3)O)C(C)C)NC(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)O	Planktothrix agardhii NIVA-CYA 126/8	KWDLKNNQGMAHJR-HBWVXJRASA-N	MIBiG4.0rc1
BGC0000302.0	anabaenopeptin	C[C@H]1C(=O)N[C@H](C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N1C)CCC2=CC=C(C=C2)O)C)C(C)C)NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CC3=CC=CC=C3	Anabaena sp. 90	BFLURJDTSAXPNZ-NCUXDPMLSA-N	MIBiG4.0rc1
