ID	Name	SMILES	Origin	Source	InChiKey	recognized_monomers	nerpa2_supported_monomers	Cluster
BGC0000290.0	A-47934	N[C@@H]1C2=CC=C(OS(O)(=O)=O)C(OC3=CC(=CC(O)=C3)[C@@H]3NC(=O)[C@@H](CC4=CC(Cl)=C(OC5=C(O)C6=CC(=C5)[C@@H](NC3=O)C(=O)N[C@@H]3C5=CC(Cl)=C(O)C(=C5)C5=C(O)C=C(O)C=C5[C@H](NC(=O)[C@@H](NC3=O)[C@H](O)C3=CC=C(O6)C(Cl)=C3)C(O)=O)C=C4)NC1=O)=C2	Streptomyces toyocaensis	MIBiG4.0	HRGFAEUWEMDRRZ-QLRHZSCISA-N	6	6	7110
BGC0000296.0	actinomycin D	[H][C@@]12CCCN1C(=O)[C@]([H])(NC(=O)[C@@]([H])(NC(=O)C1=CC=C(C)C3=C1N=C1C(O3)=C(C)C(=O)C(N)=C1C(=O)N[C@]1([H])C(=O)N[C@]([H])(C(C)C)C(=O)N3CCC[C@@]3([H])C(=O)N(C)CC(=O)N(C)[C@@]([H])(C(C)C)C(=O)O[C@]1([H])C)[C@@]([H])(C)OC(=O)[C@]([H])(C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C	Streptomyces anulatus	MIBiG4.0	RJURFGZVJUQBHK-IIXSONLDSA-N	11	10	5024
BGC0000297.0	aeruginoside 126B	CC(C)C[C@@H](NC(=O)[C@H](O)CC1=CC=CC=C1)C(=O)N1[C@H]2C[C@@H](CC[C@H]2C[C@H]1C(=O)NCCCCNC(N)=N)O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O	Planktothrix agardhii NIVA-CYA 126	MIBiG4.0	JUHSPAYJBZKQRH-IBWPONKNSA-N	4	2	1144
BGC0000299.0	alterochromide A	C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	Pseudoalteromonas piscicida JCM 20779	MIBiG4.0	NOXVAEGHELSLCZ-NLUZMNHVSA-N	5	5	1151
BGC0000299.1	bromoalterochromide A	CCC(C)C1NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(NC(=O)\C=C\C=C\C=C\C=C\C2=CC=C(O)C(Br)=C2)C(C)OC1=O)C(C)C	Pseudoalteromonas piscicida JCM 20779	MIBiG4.0	VJNFPXDPZJZUKS-NOEJSRFCSA-N	5	5	5764
BGC0000299.10	bromoalterochromide B'	O=C([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)N[C@H]1CC(C)C	Pseudoalteromonas piscicida JCM 20779	MIBiG4.0	YUWZMTMMHSEFLE-UNNUVPEXSA-N	5	5	4619
BGC0000299.12	alterochromide A''	CC(C)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	Pseudoalteromonas piscicida JCM 20779	MIBiG4.0	PPWHZYRECFVKDR-MOILHBHHSA-N	5	5	6703
BGC0000299.7	bromoalterochromide A'	CC(C)CC1NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(NC(=O)\C=C\C=C\C=C\C=C\C2=CC=C(O)C(Br)=C2)C(C)OC1=O)C(C)C	Pseudoalteromonas piscicida JCM 20779	MIBiG4.0	AZKKJPHFGXHXKQ-LZBUJHLNSA-N	5	5	2392
BGC0000300.0	amychelin	OC[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H]1COC(=N1)C1=CC=CC=C1O)C(=O)N[C@@H](CO)C(=O)N[C@H](CCCN(O)C=O)C(=O)N[C@@H]1CCCN(O)C1=O	Streptomyces sp. AA4	MIBiG4.0	YMYRNIMWOZETPY-OVQJPPBNSA-N	7	6	1547
BGC0000301.0	anabaenopeptin 908	CC[C@@H]([C@H]1C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CCCNC(N)=N)=O)C(N[C@@H](C(C)C)C(N[C@@H](CCC2=CC=C(O)C=C2)C(N(C)[C@@H](CCC3=CC=C(O)C=C3)C(N1)=O)=O)=O)=O)=O)C	Planktothrix agardhii NIVA-CYA 126/8	MIBiG4.0	FPSCSFRHCCJLDN-ORCWKVIUSA-N	6	6	2302
