	NRP variant	Verdict	Assignee	Comment (esp if marked for investigation)	URL
BGC0001028#0	BGC0001028.0#2	good	Ilia	similar residues; the residue in NRP is similar to the one predicted but received a low score	
BGC0000339#0	BGC0000339.0#0	for investigation	Ilia	align several fragments	
BGC0000985#0	BGC0000985.1#0	to be corrected	Ilia	602.2 module and Lac monomer should be skipped instead of matched; dubious recognition of X0 as Val	
BGC0002484#19	BGC0002484.2#0	good	Ilia, Azat		
BGC0001462#0	BGC0001462.0#0	for investigation	Ilia	it is not clear how the actual assembly line looks like	
BGC0002409#0	BGC0002409.3#0	for investigation	Ilia	presumably fragmented BGC; affine gap scoring, similar residues; should the last module be epimerized?	
BGC0002107#1	BGC0002107.1#0	for investigation	Ilia	some monomers are skipped supposedly because BGC is fragmented; Another example where affine gap scoring would be beneficial	
BGC0002409#0	BGC0002409.2#0	for investigation	Ilia	presumably fragmented BGC; affine gap scoring, similar residues;	
BGC0000289#0	BGC0000289.0#0	to be corrected	Ilia->Alexey->Ilia	NEWER: Nerpa can fail due to weird assembly line and large distance between genes. Better leave it for now. NEW: all correct according to the paper. One minor note -- there is another entry for the same match in the table! Annotated as "bad" by Sasha below | OLD: (probably) incorrect assembly line; It looks like dbv17, dbv16 should be matched. Also, maybe X shouldn't have been truncated 	
BGC0001667#0	BGC0001667.4#0	good	Ilia->Alexey	NEW:  seems ok now, all genes are considered as should E->A->B->C, there are also PKS domains responsible for "Adda" (insertion in the alignment). Note that some modules are quite unspecific (B-1 & C-2 might attract a lot of different things); OLD: looks like correct assembly line is A, B, E, and C is silent. Why is that?	
BGC0000296#0	BGC0000296.0#0	was corrected	Ilia		
BGC0002123#3	BGC0002123.1#0	to be corrected	Ilia	two TEs in BGC; Alignments for 2123 should be joined, then it would be a decent alignment	
BGC0002123#0	BGC0002123.1#1	to be corrected	Ilia	two TEs in BGC	
BGC0002123#3	BGC0002123.9#1	to be corrected	Ilia	two TEs in BGC	
BGC0002123#0	BGC0002123.9#0	to be corrected	Ilia	two TEs in BGC	
BGC0002123#3	BGC0002123.8#1	to be corrected	Ilia	two TEs in BGC	
BGC0002123#0	BGC0002123.8#0	to be corrected	Ilia	two TEs in BGC	
BGC0002123#3	BGC0002123.5#0	good	Ilia, Azat	almost correct, but one of the monomers is not matched because we don't support singular a domains	
BGC0002123#0	BGC0002123.5#1	to be corrected	Ilia	two TEs in BGC	
BGC0002123#0	BGC0002123.11#0	good	Ilia, Azat	two TEs in BGC	
BGC0002503#2	BGC0002503.4#1	to be corrected	Ilia	two TEs in BGC	
BGC0002503#6	BGC0002503.4#0	to be corrected	Ilia	two TEs in BGC	
BGC0002503#6	BGC0002503.6#0	bad	Ilia, Azat		
BGC0002503#2	BGC0002503.6#1	to be corrected	Ilia	two TEs in BGC	
BGC0000313#0	BGC0000313.0#3	good	Ilia		
BGC0000342#0	BGC0000342.0#3	good	Ilia		
BGC0001833#0	BGC0001833.0#2	for investigation	Ilia	two C-starter domains in a single gene	
BGC0000445#0	BGC0000445.0#0	good	Ilia->Alexey	NEW: correctly identified iterative NRP (but I don't see the explicit message about it in the alignment, maybe it should n't be there see you see the gene names used twice). genes tioR & tioS are corrrectly used and tioY & tioZ are correctly skipped. The remainig monomer X0 is linked to tioK, the original publication is not sure about it, there are several small genes involved in this non-standard amino acid synthesis and activation, maybe tioK, maybe tioJ and tioP (that is the idea of the paper authors); OLD:maybe first monomer should be skipped in alignment	
BGC0000312#0	BGC0000312.0#0	for investigation	Ilia	gene iterated 4 times; Currently Nerpa considers up to 3 gene duplications, so it didn't manage to align all 4 fragments to the BGC	
BGC0002061#0	BGC0002061.1#3	good	Ilia		
BGC0002061#0	BGC0002061.0#3	good	Ilia		
BGC0000393#0	BGC0000393.0#2	good	Ilia	A-OX domain, PKS-PCP module in the middle of a gene; last module was silent for some reason..? But can't check because no free access paper	
BGC0001028#0	BGC0001028.0#2	good	Ilia		
BGC0001833#0	BGC0001833.1#3	good	Ilia	two C-starter domains in a single gene	
BGC0000434#0	BGC0000434.0#0	good	Ilia	trimmed monomer; A monomer could be matched to a module but was trimmed. On the other hand, another monomer in the same compound was trimmed legitimately. We may need to revise our approach for trimming monomers. I would try keeping them but lowering the cost of removing them at the ends during the alignment 	
BGC0000434#0	BGC0000434.1#0	good	Ilia		
BGC0000434#0	BGC0000434.2#0	for investigation	Ilia	trimmed monomer	
BGC0000434#0	BGC0000434.3#0	for investigation	Ilia	trimmed monomer	
BGC0000434#0	BGC0000434.4#0	to be corrected	Ilia	according to paper, orphan swb12 attracts 1st monomer, not swb11. Also, there should be two fragments in alignment, not 3.	
BGC0000450#0	BGC0000450.0#0	good	Ilia	maybe gene trsR should be removed from the alignment as it is far away	
BGC0000339#0	BGC0000339.0#0	good	Ilia		
BGC0001228#0	BGC0001228.0#0	for investigation	Ilia	trimmed monomer (as in 434)	
BGC0000368#0	BGC0000368.0#0	to be corrected	Ilia		
BGC0000359#0	BGC0000359.0#0	to be corrected	Ilia	skipped BGC module; Very interesting example: different parts of the NRP seem to have been assembled by different lines. First 1866 gene is omitted, then 1865. Unnecessay removal of Orn as a sink. 	
BGC0000359#0	BGC0000359.0#1	for investigation	Ilia	OH-Orn was trimmed for some reason	
BGC0000359#0	BGC0000359.1	to be corrected	Ilia	Orn is still trimmed	
BGC0000359#0	BGC0000359.2	for investigation	Ilia	should sink be kept? An interesting case where sink (vertex with no outcoming edges) seems to belong to one of the fragments 	
BGC0001185#0	BGC0001185.0#0	good	Ilia, Azat		
BGC0002123#3	BGC0002123.10#1	to be corrected	Ilia	same as other 2123; C_DUAL; incorrect parsing of KGB56_24755 gene	
BGC0002123#0	BGC0002123.10#0	to be corrected	Ilia	join alignments for separate fragments	
BGC0002415#0	BGC0002415.1#0	was corrected	Ilia		
BGC0002415#0	BGC0002415.2#0	was corrected	Ilia		
BGC0001344#0	BGC0001344.8#3	for investigation	Ilia	the alignment is bad but makes sense; I am not sure if we want to keep it or not	
