compound_id	num_recognized_nodes	iso_class_idx
NPA015567	4	0
NPA016899	4	1
PNPdb04160	9	2
BGC0002914.1	8	3
BGC0002914.0	9	3
NPA028880	6	4
NPA028881	6	5
PNPdb04161	2	6
NPA027549	7	7
NPA028882	7	8
NPA027548	6	9
NPA028883	12	10
PNPdb04167	9	11
NPA027547	7	12
NPA028884	15	13
PNPdb04168	7	14
NPA003586	4	15
NPA027546	7	16
NPA028885	6	17
PNPdb04165	23	18
NPA027545	7	19
PNPdb04166	7	20
NPA027555	6	21
NPA028876	6	22
NPA027554	6	23
NPA028877	6	24
NPA027553	7	25
NPA028878	6	26
PNPdb04158	8	27
NPA027552	7	28
NPA028879	6	29
PNPdb04159	7	30
NPA027551	7	31
NPA027550	6	32
NPA015570	6	33
NPA015576	6	34
PNPdb04171	4	35
PNPdb04174	8	36
NPA026209	8	37
PNPdb04175	4	38
NPA026208	8	37
NPA027539	7	39
NPA028870	8	40
NPA027538	7	41
NPA028871	9	42
PNPdb04173	10	43
NPA027537	7	44
NPA028872	12	45
PNPdb04178	4	38
NPA027536	7	46
NPA028873	11	47
BGC0002259.1	3	48
NPA027535	7	49
NPA028874	15	50
PNPdb04176	8	51
BGC0002259.0	3	52
NPA027534	7	53
NPA028875	15	54
PNPdb04177	9	55
NPA027544	7	56
NPA028865	9	57
NPA027543	7	58
NPA028866	9	59
NPA002259	11	60
NPA026211	8	37
NPA027542	7	61
NPA026210	8	62
NPA027541	7	63
NPA027540	7	64
NPA014230	10	65
NPA015564	7	66
NPA016896	2	67
NPA015565	2	68
PNPdb01908	9	69
NPA014214	9	70
PNPdb01909	9	71
NPA016878	8	72
BGC0000374.4	5	73
PNPdb04181	11	74
BGC0000374.5	6	75
PNPdb04182	10	76
BGC0000374.6	4	77
PNPdb04180	8	27
BGC0000374.0	4	78
PNPdb04185	8	27
BGC0000374.1	4	78
NPA004891	10	79
NPA027529	7	80
PNPdb04186	10	76
BGC0000374.2	4	81
NPA027528	7	82
PNPdb04183	8	27
NPA027527	7	83
NPA028860	7	84
NPA027526	7	85
NPA028861	7	86
PNPdb04189	7	87
NPA027525	7	88
NPA027524	7	89
NPA028863	6	90
PNPdb04187	6	91
NPA004893	5	92
NPA027523	7	93
NPA028864	5	94
NPA027533	7	95
NPA002223	8	96
NPA027532	7	97
NPA028855	10	98
NPA002226	4	99
NPA003557	10	100
NPA027531	7	101
NPA027530	7	102
NPA028857	8	103
NPA028858	8	104
NPA028859	6	105
PNPdb01900	8	106
PNPdb01902	6	107
PNPdb01903	6	108
NPA015551	8	109
PNPdb01904	8	110
NPA016882	15	111
PNPdb01905	7	112
PNPdb01906	10	113
NPA014223	3	114
PNPdb01907	9	115
PNPdb01919	3	116
NPA015534	6	117
NPA016864	10	118
PNPdb04192	11	119
PNPdb04193	10	76
NPA015539	7	112
PNPdb04190	11	120
PNPdb04191	9	121
NPA027519	7	122
PNPdb04196	7	123
NPA027518	6	124
PNPdb04197	10	125
NPA027517	7	126
PNPdb04194	10	76
NPA027516	6	32
PNPdb04195	8	127
NPA027515	6	32
NPA027514	7	128
NPA027513	6	129
PNPdb04198	8	27
NPA027512	6	130
PNPdb04199	11	131
NPA027522	7	132
NPA002234	6	133
NPA027521	7	134
NPA027520	7	135
NPA002236	10	136
NPA028846	8	137
NPA028847	9	138
NPA002238	7	139
PNPdb01910	5	140
PNPdb01911	9	141
PNPdb01912	9	142
PNPdb01913	11	143
PNPdb01914	12	144
PNPdb01915	7	145
PNPdb01916	6	146
BGC0002411.0	5	147
NOR01270	6	148
NOR01271	6	149
NPA027599	6	150
NOR01267	6	151
NPA027598	6	150
NOR01268	6	152
NPA027597	6	150
NOR01269	6	153
PNPdb01920	3	154
BGC0001096.0	0	155
PNPdb01922	5	156
PNPdb01923	3	157
PNPdb01925	4	158
BGC0003000.0	0	159
PNPdb01926	4	160
PNPdb01928	6	161
PNPdb01929	6	162
BGC0001106.0	0	155
PNPdb01931	6	163
PNPdb01932	7	164
PNPdb00602	8	165
PNPdb00603	11	166
PNPdb01934	7	167
PNPdb01935	7	168
PNPdb00605	11	169
PNPdb01936	8	170
PNPdb00606	9	55
PNPdb01937	5	171
PNPdb01938	7	172
BGC0001751.0	0	159
PNPdb00608	11	173
BGC0001751.1	0	159
NPA014278	6	174
PNPdb00609	10	175
NOR01251	5	176
NOR01252	5	177
NPA027569	7	178
BGC0001631.0	5	179
NOR01253	5	180
NPA027568	7	181
NOR01254	4	182
NPA027567	7	183
NPA028898	6	184
NPA027576	6	185
NPA028899	6	186
NPA027575	7	187
NPA027574	6	188
NPA027573	6	189
BGC0002281.0	0	190
NPA027572	7	191
PNPdb00610	9	192
PNPdb01941	8	193
NPA027571	6	194
PNPdb01942	8	195
NPA027570	7	196
PNPdb00612	12	197
PNPdb01944	10	198
NPA014261	12	199
PNPdb01945	9	200
PNPdb00615	2	201
PNPdb01946	8	202
PNPdb00616	6	203
PNPdb00617	5	204
PNPdb01948	11	205
PNPdb01949	11	206
PNPdb00619	5	207
NPA015577	20	208
NPA014248	2	209
BGC0002424.1	4	210
BGC0000361.1	0	211
NPA002282	10	212
NPA028890	6	213
BGC0002424.0	4	210
BGC0000361.0	1	214
NPA028891	6	215
BGC0002424.3	4	210
NPA028892	6	216
BGC0002424.2	4	210
NPA028893	5	217
BGC0002424.5	4	210
NPA027559	7	218
NPA028894	5	219
BGC0002424.4	4	210
NPA027558	7	220
NPA028895	6	221
BGC0002424.7	4	210
NPA027557	7	222
NPA028896	6	223
BGC0002424.6	4	210
NOR01265	10	224
NPA027556	7	225
NPA028897	6	226
NOR01255	10	227
NPA027566	7	228
NPA028887	6	229
NOR01256	10	230
NPA027565	7	231
NPA028888	5	232
NOR01257	10	227
NPA027564	7	233
NPA028889	6	234
NPA027563	6	235
PNPdb01950	7	145
NPA027562	6	236
PNPdb00620	3	237
PNPdb01951	10	238
NPA027561	7	239
PNPdb00621	5	240
PNPdb01952	9	241
NPA027560	7	242
PNPdb00622	5	243
PNPdb00623	4	244
PNPdb00624	6	245
PNPdb01955	2	246
PNPdb00625	7	247
PNPdb01956	3	248
PNPdb00626	2	249
PNPdb01957	4	250
PNPdb00627	4	251
PNPdb01958	3	252
PNPdb00628	4	253
PNPdb01959	5	254
PNPdb00629	7	255
NPA014255	9	256
NPA015586	3	257
PNPdb00630	7	258
NPA009714	8	259
PNPdb00631	6	133
BGC0002100.0	2	260
BGC0002090.0	0	159
PNPdb00632	7	261
PNPdb01963	6	262
BGC0002090.1	0	159
PNPdb00633	8	263
PNPdb01964	6	264
PNPdb01965	6	265
PNPdb01966	6	266
PNPdb00636	3	267
PNPdb01967	4	268
PNPdb01968	8	269
PNPdb00638	8	270
PNPdb01969	4	271
