#BGC Name	Family Number
BGC0000064	59
BGC0000959	59
BGC0000968	59
BGC0000983	59
BGC0001122	59
BGC0001255	59
BGC0001268	59
BGC0001563	59
BGC0002067	59
BGC0002210	59
BGC0002230	59
BGC0002235.region002	59
BGC0002239	59
BGC0002250	59
BGC0002261	59
BGC0002268	59
BGC0002505	59
BGC0002538	59
BGC0002539	59
BGC0002546	59
BGC0000066	68
BGC0000067	68
BGC0000074	68
BGC0000122	331
BGC0000353	331
BGC0001215	331
BGC0001235	331
BGC0001329	331
BGC0001331	331
BGC0001332	331
BGC0001367	331
BGC0001666	331
BGC0000402	377
BGC0001090	377
BGC0001098	377
BGC0001103	377
BGC0001728	377
BGC0002418	377
BGC0000440	420
BGC0000441	420
BGC0000311	434
BGC0000418	434
BGC0000419	434
BGC0000455	434
BGC0001178	434
BGC0001233	434
BGC0001459	434
BGC0001460	434
BGC0001462	434
BGC0001819	434
BGC0002314	434
BGC0000976	926
BGC0001165	926
BGC0002542	926
BGC0000954	940
BGC0000988	940
BGC0000989	940
BGC0000990	940
BGC0000991	940
BGC0000106	961
BGC0000994	961
BGC0001011	961
BGC0001012	961
BGC0001013	961
BGC0001381	961
BGC0001477	961
BGC0001491	961
BGC0001856	961
BGC0001963	961
BGC0002454	961
BGC0002456	961
BGC0002520	961
BGC0001015	965
BGC0001016	965
BGC0001017	965
BGC0001667	965
BGC0001705	965
BGC0002297	965
BGC0001019	967
BGC0001231	967
BGC0002025	967
BGC0001022	971
BGC0001394	971
BGC0001737	971
BGC0002677	971
BGC0001023	972
BGC0001417	972
BGC0001418	972
BGC0001419	972
BGC0001420	972
BGC0001429	972
BGC0001430	972
BGC0001431	972
BGC0001432	972
BGC0002001	972
BGC0002532	972
BGC0000969	973
BGC0000975	973
BGC0000982	973
BGC0001001	973
BGC0001010	973
BGC0001024	973
BGC0001212	973
BGC0001884	973
BGC0001941	973
BGC0002697	973
BGC0000393	977
BGC0000984	977
BGC0001005	977
BGC0001028	977
BGC0001363	977
BGC0002061	977
BGC0001026	998
BGC0001037	998
BGC0001049	998
BGC0001136	998
BGC0001182	998
BGC0001187	998
BGC0001218	998
BGC0001445	998
BGC0001449	998
BGC0001600	998
BGC0001724	998
BGC0001738	998
BGC0001741	998
BGC0001857	998
BGC0002035	998
BGC0002066	998
BGC0002093	998
BGC0002169	998
BGC0002304	998
BGC0001034	1000
BGC0001042	1000
BGC0001051	1000
BGC0001195	1000
BGC0001287	1000
BGC0001342	1000
BGC0001702	1000
BGC0001785	1000
BGC0002649	1000
BGC0000075	1015
BGC0001003	1015
BGC0001040	1015
BGC0001052	1015
BGC0001066	1015
BGC0001119	1015
BGC0002453	1015
BGC0002671	1015
BGC0000967	1018
BGC0001069	1018
BGC0001111	1018
BGC0001112	1018
BGC0001656	1018
BGC0001772	1018
BGC0002813.region001	1018
BGC0002814.region001	1018
BGC0001070	1020
BGC0001071	1020
BGC0001105	1020
BGC0001110	1020
BGC0001116	1020
BGC0001751	1020
BGC0001101	1044
BGC0001108	1050
BGC0001109	1050
BGC0001780	1050
BGC0002082	1050
BGC0001202	1137
BGC0001202.region001	1137
BGC0000346	1139
BGC0001203	1139
BGC0001203.region001	1139
BGC0001290	1210
BGC0002188	1210
BGC0001327	1244
BGC0001328	1244
BGC0001421	1335
BGC0001422	1335
BGC0001423	1335
BGC0001424	1335
BGC0001425	1335
BGC0001426	1335
BGC0001427	1335
BGC0001428	1335
BGC0000289	1368
BGC0000290	1368
BGC0001461	1368
BGC0001461.region001	1368
BGC0001955	1368
BGC0002344	1368
BGC0000020	1415
BGC0000090	1415
BGC0001511	1415
BGC0002011	1415
BGC0002552	1415
BGC0000955	1531
BGC0001630	1531
BGC0001631	1531
BGC0001635	1535
BGC0000996	1616
BGC0001553	1616
BGC0001556	1616
BGC0001726	1616
BGC0001726.region001	1616
BGC0001611	1704
BGC0001823	1704
BGC0000345	1710
BGC0001829	1710
BGC0001853	1737
